ID,Make,Model,Price,Year,Odometer,Fuel type,Engine type,Color,Body,Transmission,Drive
16196227,Hyundai,Accent,1,1996,111111,бензин,1300,зеленый,хэтчбек 5 дв.,Механика,Передний
16126478,Audi,80,1,1990,1111111,бензин,1800,другой,седан,Механика,Передний
16102020,Ford,Mondeo,96,1996,449000,бензин,1800,бордовый,седан,Механика,Передний
16038921,Mazda,626,96,1987,200000,бензин,1800,серый,хэтчбек 5 дв.,Механика,Передний
16140096,Peugeot,309,100,1985,225945,бензин,1500,синий,хэтчбек 3 дв.,Механика,Передний
15787838,Volvo,300 series,100,1986,400000,бензин,1700,серый,седан,Механика,Задний
15555263,Ford,Orion,100,1993,1000000,бензин,1600,бордовый,седан,Механика,
15820057,Lada (ВАЗ),1111 Ока,101,1992,45000,бензин,800,серый,купе,Механика,Передний
14212331,Lada (ВАЗ),2101,107,1978,32140,бензин,1294,белый,седан,Механика,Задний
16082470,Ford,Escort,115,1991,46146,бензин,1400,синий,хэтчбек 5 дв.,Механика,Передний
15622029,Opel,Omega,115,1986,391663,бензин,2000,серый,седан,Механика,Задний
16190386,Lada (ВАЗ),2107,120,1994,160000,бензин,1500,белый,седан,Механика,Задний
16169335,Mazda,323,120,1991,303,бензин,1600,красный,хэтчбек 3 дв.,Механика,Передний
13389032,Citroen,BX,120,1985,300000,бензин,1600,белый,хэтчбек 5 дв.,Механика,Передний
15610775,SEAT,Ibiza,121,1992,5000000,бензин,800,красный,хэтчбек 3 дв.,Механика,Передний
15626794,Lada (ВАЗ),2105,123,1984,35967,бензин,1200,синий,седан,Механика,Задний
16165921,Lada (ВАЗ),2109,130,1995,200000,бензин,1300,белый,хэтчбек 3 дв.,Механика,Передний
15600878,Lada (ВАЗ),2107,132,1985,16728,бензин,1290,другой,седан,Механика,Задний
14552456,Opel,Vectra,133,1989,431738,бензин,1796,белый,седан,Механика,Передний
14099035,Ford,Escort,140,1994,45311,бензин,1392,черный,универсал,Механика,Передний
16196839,Lada (ВАЗ),2106,145,1989,300000,бензин,1600,коричневый,седан,Механика,Задний
16182253,Daewoo,Nexia,145,1997,197103,бензин,1500,зеленый,хэтчбек 5 дв.,Механика,Передний
16136603,Ford,Fiesta,145,1994,91357,бензин,1400,синий,хэтчбек 3 дв.,Механика,Передний
16115360,Kia,Sephia,145,1995,190000,бензин,1600,красный,седан,Механика,Передний
16111972,ЗАЗ,968,145,1990,37000,бензин,1000,зеленый,хэтчбек 3 дв.,Механика,Задний
15882005,Ford,Escort,145,1995,300000,дизель,1800,другой,хэтчбек 5 дв.,Механика,Передний
15878681,Lada (ВАЗ),2108,145,1991,348000,бензин,1500,синий,хэтчбек 3 дв.,Механика,
15805440,Ford,Escort,145,1996,2500,бензин,1600,серый,седан,Механика,Передний
15626778,Lada (ВАЗ),2101,147,1975,44102,бензин,1300,синий,седан,Механика,Задний
16196132,Lada (ВАЗ),2101,150,1985,200000,бензин,1500,красный,седан,Механика,Задний
16193541,Opel,Kadett,150,1988,111111,бензин,1300,синий,хэтчбек 5 дв.,Механика,Передний
16188220,Lada (ВАЗ),2108,150,1989,235667,бензин,1300,синий,хэтчбек 3 дв.,Механика,Передний
16176914,Ford,Sierra,150,1991,350,дизель,1800,бордовый,универсал,Механика,Задний
16176093,Mazda,323,150,1993,320000,бензин,1600,другой,седан,Механика,Передний
16174710,Opel,Rekord,150,1986,250,бензин,2000,серебристый,седан,Механика,Задний
16136556,Opel,Ascona,150,1986,40000,бензин,1800,зеленый,седан,Механика,
